ЄДРПОУ,Адреса електронної пошти
04052755,ispdeb@ukr.net
36443376,uvp@donoda.gov.ua
25917627,samoylovich@gutszndn.gov.ua
37379459,guriz@ukr.net
01291755,oblgna@dpa.dn.ua
23181323,dpi0530@ukrpost.ua
21823651,sgni@ukrpost.ua
38769323,vorosh62@ukr.net
21958635,vorosh62@ukr.net
25338585,kalingni@ukrpost.ua
21959304,dpi0566@dc.ukrtel.net
21955737,0567@ukrpost.ua
21970079,gnidrug@drutel.dc.ukrtel.net
39900454,dn15.official@sfs.gov.ua
38504257,dpi0526@ukr.net
33912695,dpi0501@yandex.ru
34032192,inalogovaja@ukrpost.ua
38740367,khin@ukr.net
38789664,gnidrug@drutel.dc.ukrtel.net
23769921,dpi0526@ukr.net
34231407,margni38@mar.dc.ukrtel.net
34150056,dpi0505@kost.dn.ukrtelecom.ua
23413242,dpi0515@kramatorsk.dc.ukrtel.net
23031003,margin-pub@ukrpost.ua
34301714,sneggni@meta.ua
34273948,dpi0539@ukr.net
22041620,gni83@ukrpost.ua
34335749,nalog0569@ukr.net
23339095,gni82@ukrpost.net
03494586,donarc@ukrpost.ua
37456009,cz1230@lgocz.gov.ua
08671484,29_dn@mvs.gov.ua
02895706,inbox@dgm.dn.court.gov.ua
14276705,inbox@dmm.dn.court.gov.ua
23355183,OGNI_DOBR_DN@UKR.NET
38181842,ogni_dobr_dn@ukr.net
23778446,rda@dobropol.dn.ua
05420043,rrada@dobropol.dn.ua
04343145,sdobropilliy@ukr.net
37755477,r73@dn.pfu.gov.ua
26503492,inbox@dpm.dn.court.gov.ua
34534618,gorsovet@volnov.dc.ukrtel.net
23599689,inbox@dkm.dn.court.gov.ua
39496499,donetsk@sfs.gov.ua
00022473,info@donoda.gov.ua
04336814,isp_kir@ukrpost.ua
21955772,dnfse@ukrpost.ua
34687090,inbox@apladm.dn.court.gov.ua
26020508,inbox@dna.arbitr.gov.ua
24639346,cppk@cpk.donetsk.ua
02770038,centr@gutszndn.gov.ua
35099148,inbox@adm.dn.court.gov.ua
34335712,bud_mdpi@ukr.net
22008290,tax0532@ukr.net
34081522,ogni@volnov.dc.ukrtel.net
38588819,gnivolnov@yandex.ru
34064177,galkina200@mail.ru
21956228,dpi0564@ukr.net
22000673,dpi65box@dc.ukrtel.net
34456006,nalogdm@rambler.ru
34372487,dpi_torez@ukr.net
34488436,dni0540@ukrpost.ua
21958517,nalog568@ukr.net
20399702,gni@ukrpost.ua
34231302,dpi0543@ukr.net
08671478,32_dn@mvs.gov.ua
02895722,inbox@dr.dn.court.gov.ua
04053068,ispolgd@gmail.com
23599672,inbox@gdm.dn.court.gov.ua
14321914,gitomir_zagin@pvu.gov.ua
33331099,mdpi0581_s@ukrpost.ua
34908779,dvs_gov_mar@i.ua
02895610,inbox@gvt.dn.court.gov.ua
04342826,zajrada@yandex.ua
04342401,zelenepole@mail.ru
04341206,sovet@amvr.dc.ukrtel.net
04343151,zolotoj_k@ukr.net
01213790,silrada-zora@yandex.ru
35798765,ispolkom.zugres@meta.ua
04340721,Відсутня
25987415,main@r09.gutszndn.gov.ua
34928795,Kalgor21@ukr.net
02895455,inbox@kl.dn.court.gov.ua
02895544,inbox@kln.dn.court.gov.ua
04340738,kasyanovskiyselskiysovet@mail.ru
04340684,04340684@ukr.net
05379725,kat-sovet@ukr.net
02895484,inbox@kv.dn.court.gov.ua
04526704,sovet@amvr.dc.ukrtel.net
08671583,36_dn@mvs.gov.ua
04341502,kontarnoe_rada@meta.ua
21969124,odpikon@kost.dn.ukrtelecom.ua
38692324,odpikon@kost.dn.ukrtelecom.ua
05420103,krga@ukrpost.ua
37544278,r65@dn.pfu.gov.ua
26503454,inbox@ksm.dn.court.gov.ua
14321825,kotovsk_zagin@pvu.gov.ua
02895656,inbox@kt.dn.court.gov.ua
04052933,yurist.isp@mail.ru
38664077,38664077@mail.gov.ua
21961790,rda@krasn.dn.ua
05420273,rsov@krasn.dn.ua
05380504,krasnoarmeiskiiselskiisovet@mail.ru
26503738,inbox@ka.dn.court.gov.ua
04053281,kras.sovet@yandex.ua
26130711,ispk@krasnodon.org.ua
38721040,kogni@ukr.net
21847976,kogni@ukr.net
04051514,kd_rda@loga.gov.ua
24854698,rada@kd.lg.ukrtel.net
04336866,possovet-krasnodon@ukr.net
37907322,Office.krasd@lg.treasury.gov.ua
26522351,inbox@kdm.lg.court.gov.ua
13391976,kmrcz@ukrpost.ua
04053275,liman-rada@ukrpost.ua
08671702,39_dn@mvs.gov.ua
05482038,inbox@km.dn.court.gov.ua
04340916,krssovet@rambler.ru
04343168,krivorozhss@mail.ru
02895478,inbox@kb.dn.court.gov.ua
04053298,sovet.85@mail.ru
04341531,sovet@amvr.dc.ukrtel.net
14321498,veliki_mosti_knc@pvu.gov.ua
04053051,sovet@kir.dc.ukrtel.net
34799108,kirnalog@ukr.net
35020942,kir_dvs_makeevka@ukr.net
23312067,35_dn@mvs.gov.ua
23599703,inbox@kirm.dn.court.gov.ua
02895490,inbox@kr.dn.court.gov.ua
02895587,inbox@kir.dn.court.gov.ua
34053521,larino@email.ua
25575322,62_dn@mvs.gov.ua
26481764,lenrada@mail.ua
02895509,inbox@ln.dn.court.gov.ua
04341212,sovet@amvr.dc.ukrtel.net
05380361,luganskarada@ukr.net
41224325,lmvdvs@lugjust.gov.ua
13392912,cz1201@lgocz.gov.ua
03490878,inform@lgocz.gov.ua
35079949,inbox@adm.lg.court.gov.ua
05380378,maksovet@rambler.ru
04052815,common@makeyevka.dn.ua
34516396,elza18@gmail.com
04342476,maloorlovka@mail.ru
04340744,M_selsovet@mail.ru.
38508105,dpi0540@mail.ru
04340493,mangush_sovet@mail.ru
05555592,voloshina.anuta@yandex.ru
38761392,margni38@mar.dc.ukrtel.net
05420385,mrda@mar.dc.ukrtel.net
26040439,msovet1@rambler.ru
02895900,inbox@mr.dn.court.gov.ua
33852448,gorsovet@marsovet.org.ua
08671449,15_dn@mvs.gov.ua
13483164,sovet@amvr.dc.ukrtel.net
34928784,mik.dvs@i.ua
02895550,inbox@mk.dn.court.gov.ua
25946404,ispolcom-mironovka@yandex.ua
04342080,sovet@amvr.dc.ukrtel.net
25939511,Відсутня
14321699,mostiska_zagin@pvu.gov.ua
14321676,mukachevo_zagin@pvu.gov.ua
00026620,zsmfa@mfa.gov.ua
22039037,cesak@solo.donbass.com
25773909,dk@novogrodovka.org.ua
14321481,nadpsu@pvu.gov.ua
04526733,nikanorovka2010@meta.ua
04053306,novoazowskrada2008@rambler.ru
05420445,nov-rga@ukrpost.ua
25600793,nrsovetdonbass@mail.ru
02895917,inbox@naz.dn.court.gov.ua
04341548,sovet@amvr.dc.ukrtel.net
21957972,nsovet@bk.ru
04343174,novovod@ukr.net
04336079,novoannovka@yandex.ua
04052985,novogrod@solo.donbass.com
30562039,utszn@novogrodovka.org.ua
23599695,inbox@nvm.dn.court.gov.ua
04341643,Відсутня
04335482,novoaleksandrovka.possovet@mail.ru
04340922,novopetrikovka.rada@mail.ru
04335499,Novosvitl.sel.rada@yandex.ua
04343180,toreckoe_sovet@meta.ua
04341608,radanov1@yandex.ru
05380421,novoukrainka.sovet@rambler.ru
04341229,sovet@amvr.dc.ukrtel.net
04341264,sel551295@yandex.ru
04343197,oktyabr_sovet@meta.ua
04340891,octyabrsky.ss@yandex.ru
05420741,adminaleks@meta.ua
04341703,alekssovet@meta.ua
02895805,inbox@ol.dn.court.gov.ua
08671857,49_dn@mvs.gov.ua
04341181,sovet@amvr.dc.ukrtel.net
04341755,olenivkaselrada@mail.ru
04053230,ordra@ukrpost.ua
34908763,ordgdvs@ukr.net
02895633,inbox@org.dn.court.gov.ua
04341850,mormul61@mail.ru
04341867,pantpossov@ukr.net
04336085,parhomenko_rada@ukr.net
04341471,pelageevka.sovet@yandex.ua
02895923,inbox@ptr.dn.court.gov.ua
08671923,58_dn@mvs.gov.ua
02895515,inbox@ptv.dn.court.gov.ua
42169323,r81@dn.pfu.gov.ua
04528755,PorsRada@mail.ru
04343079,Pravdasovet@rambler.ru
26144989,mfa_lv@mfa.gov.ua
04342938,privsovet@ukr.net
02895641,inbox@pr.dn.court.gov.ua
25707002,donpovistka@don.gp.gov.ua
02909921,sekretariat@lug.gp.gov.ua
38034036,inbox@pl.dn.court.gov.ua
04340945,piddubnenska.sr@gmail.com
03331370,ss_peski@mail.ru
04341784,raygorodokselrada@i.ua
37251850,marinkaarc@mail.ru
04340750,respubl_ss@mail.ru
04340690,sovet.ryb@yandex.ru
04526727,razdolnoe-sovet@ukr.net
04342341,s.rozdolivka@ukr.net
13389844,ynostb@ukr.net
04342507,sadovka11@rambler.ru
04336100,sovet.samsonovsky@yandex.ua
13483187,sahanka0@rambler.ru
04340715,svobodnss@ukr.net
04341620,sv.sovet@mail.ru
04053001,04053001@mail.gov.ua
26319615,miskarada_sv@ukr.net
05420511,svitleKVV@ukr.net
26160528,tax@gni.dn.ua
41247274,r72@dn.pfu.gov.ua
04052962,selidispolcom@selid.dc.donetsk.ua
08671515,41_dn@mvs.gov.ua
02895751,inbox@sdm.dn.court.gov.ua
04342364,ruslan.bondarevsky@yandex.ru
21970719,dpi0522@ukr.net
05420563,sladmrad@mail.ru
37803258,r67@dn.pfu.gov.ua
08671604,42_dn@mvs.gov.ua
26503448,inbox@sl.dn.court.gov.ua
36091532,rayadmkr@ukrpost.ua
08671521,43_dn@mvs.gov.ua
02895774,inbox@snm.dn.court.gov.ua
02895596,inbox@sv.dn.court.gov.ua
04052873,solerada@email.ua
24646161,stbrada@ukrpost.ua
02895946,inbox@st.dn.court.gov.ua
04340968,sovet-68@meta.ua
04340767,Відсутня
23117451,stepnoe-rada@mail.ru
04341494,stogkovskoe@meta.ua
26174855,suhodolsk-isp@yandex.ua
35793589,east@customs.gov.ua
38707487,dn@customs.minrd.gov.ua
25373080,sev_gimn@i.ua
26204220,ispolkom@sovet.sed.lg.ua
05381484,inbox@sdm.lg.court.gov.ua
13392390,czsever@yandex.ru
04341726,possovetsedovo2010@yandex.ua
04053097,seversk-2010@yandex.ru
04335507,simrada@ukr.net
02895952,Inbox@tl.dn.court.gov.ua
08671946,61_dn@mvs.gov.ua
26288796,inbox@dn.court.gov.ua
36634522,tc_nov@solo.donbass.com
04052838,torvuk@mail.ru
08671538,44_dn@mvs.gov.ua
02895780,inbox@trm.dn.court.gov.ua
42170475,r82@dn.pfu.gov.ua
04052991,ukrainskgorsovet@mail.ru
20399694,main@r51.pfu.donbass.com
00730684,upragroprom@ukrpost.ua
37944909,Відсутня
26504005,ugrdon@dongisp.dn.ua
37215901,eurodon2012@mail.ru
33966850,postmaster.kultoda@gmail.com
08602371,00_dz@mvs.gov.ua
35711328,donoblarch@ukr.net
34766947,Novogrodovka@meta.ua
23599040,YGImarsovet@yandex.ru
02142862,marosvita@mail.ru
37885427,main@r55.pfu.donbass.com
20397330,main@r05.pfu.donbass.com
21956079,main@r14.pfu.donbass.com
22008309,r07@dn.pfu.gov.ua
22035513,main@r35.pfu.donbass.com
22013871,main@r24.pfu.donbass.com
23336754,r40@dn.pfu.gov.ua
21956234,main@r16.pfu.donbass.com
21955766,main@r17.pfu.donbass.com
20398476,main@r33.pfu.donbass.com
21956027,main@r19.pfu.donbass.com
23413928,main@r36.pfu.donbass.com
21982562,main@r18.pfu.donbass.com
21956033,main@r20.pfu.donbass.com
24456868,r62@dn.pfu.gov.ua
21993287,r12@dn.pfu.gov.ua
21963441,r25@dn.pfu.gov.ua
20388259,r34@dn.pfu.gov.ua
22005943,main@r48.pfu.donbass.com
20395437,main@r52.pfu.donbass.com
21963317,r01@dn.pfu.gov.ua
23126353,main@r23.pfu.donbass.com
21972115,main@r61.pfu.donbass.com
37907233,Відсутня
22043760,r60@dn.pfu.gov.ua
23336854,r47@dn.pfu.gov.ua
23355131,main@r50.pfu.donbass.com
21792459,sdonec16m.lg@pfu.gov.ua
22014014,r44@dn.pfu.gov.ua
21955281,main@r10.pfu.donbass.com
21970814,r13@dn.pfu.gov.ua
23179481,r26@dn.pfu.gov.ua
37869345,main@r32.pfu.donbass.com
23413070,main@r54.pfu.donbass.com
21995044,main@r04.pfu.donbass.com
23336748,r42@dn.pfu.gov.ua
21983633,r46@dn.pfu.gov.ua
21956056,main@r21.pfu.donbass.com
23336760,r43@dn.pfu.gov.ua
21955468,main@r22.pfu.donbass.com
21973681,main@r49.pfu.donbass.com
21958109,main@r38.pfu.donbass.com
21955677,main@r53.pfu.donbass.com
21955097,main@r11.pfu.donbass.com
21956561,main@r39.pfu.donbass.com
21955045,main@r37.pfu.donbass.com
21959043,main@r58.pfu.donbass.com
21955522,r06@dn.pfu.gov.ua
20377072,main@r15.pfu.donbass.com
23346787,r31@dn.pfu.gov.ua
21990739,main@r28.pfu.donbass.com
25967754,upszn.amr@ukr.net
26020170,karkosha.ru@mail.ru
25946273,utisznar@artemovsk.dc.ukrtel.net
26000300,main@r56.gutszndn.gov.ua
25987214,main@r52.gutszndn.gov.ua
25987421,girnutszn@mail.ru
25953304,main@r55.gutszndn.gov.ua
25967364,main@r61.gutszndn.gov.ua
26010964,admin@r11.gutszndn.gov.ua
25968659,main@r07.gutszndn.gov.ua
26020313,konst_rutszn_40@ukrpost.ua
25967772,utsz1441@ukr.net
25953557,krlutszn@ukr.net
25954746,main@r57.gutszndn.gov.ua
25953586,mkirutszn@gmail.com
25968263,main@r04.gutszndn.gov.ua
24812369,upr1434@ukr.net
25968748,main@r13.gutszndn.gov.ua
25987645,main@r06.gutszndn.gov.ua
25987680,main@r14.gutszndn.gov.ua
25953988,selutszn@ukrpost.ua
26011047,supszn@dc.ukrtel.net
26020945,main@r46.gutszndn.gov.ua
24179564,upszn919@sed-rada.gov.ua
25987817,cgutszn@dc.ukrtel.net
26001014,main@r33.gutszndn.gov.ua
25987607,1454yas@gmail.com
25953965,utisznen@ukrpost.ua
25954290,utszn@slav.dn.ua
21999137,r08@dn.pfu.gov.ua
23176026,main@r59.pfu.donbass.com
23120787,main@r02.pfu.donbass.com
03197227,utszn1438@ukr.net
25954574,upszndeb@ukr.net
25954002,main@r22.gutszndn.gov.ua
03197428,utszn@kost.dn.ukrtelecom.ua
25953468,novoazovsk.upszn@gmail.com
25928803,utszn1445@meta.ua
25968041,torez.utszn@gmail.com
25968889,Hartsizsk.utszn@yandex.ua
25928832,yasinrai_utszn@ukr.net
21949748,donmolod@gmail.com
37086371,web@donoda.gov.ua
26019540,main@r02.gutszndn.gov.ua
25968228,uprtr_prol@dongisp.dn.ua
03197598,telm01@r50.gutszndn.gov.ua
21970659,main@r03.pfu.donbass.com
21955080,main@r09.pfu.donbass.com
23188360,main@r27.pfu.donbass.com
21955453,main@r32.pfu.donbass.com
21970665,main@r57.pfu.donbass.com
23413087,main@r45.pfu.donbass.com
23346669,main@r41.pfu.donbass.com;person@r41.pfu.donbass.com
04342878,urzyf_sovet@ukr.net
04341241,sovet@amvr.dc.ukrtel.net
02895679,inbox@hrm.dn.court.gov.ua
04342178,homutovo.sovet@mail.ru
04528761,hryaschuvate.rada@ukr.net
23311530,central_baza@pvu.gov.ua
41250795,r70@dn.pfu.gov.ua
25953630,upszn1408@rambler.ru
34928800,vdvs_cmgor@ukr.net
35020916,Centrmak-DVS@ukr.net
02895567,inbox@cen.dn.court.gov.ua
02895538,inbox@cm.dn.court.gov.ua
04052867,chasovgs@ukr.net
35020887,VDVS_GVARDEYKA_MAKEEVKA@ukr.net
02895604,inbox@cgv.dn.court.gov.ua
14321707,chop_zagin@pvu.gov.ua
04053074,shahtars@shakh.dc.ukrtel.net
23030245,nalog@shakh.dc.ukrtel.net
05420161,shahrga@shakh.dc.ukrtel.net
04340947,shahtarska.sr@gmail.com
26503460,inbox@shm.dn.court.gov.ua
04340980,shev-ss@ukr.net
23421129,yasgni@dc.dn.ua
38711781,dpi0528@ukr.net
05420221,yarda@dc.dn.ua
37544393,r69@dn.pfu.gov.ua
26503721,inbox@ys.dn.court.gov.ua
04342393,evgenivska.sr@gmail.com
04341198,sovet@amvr.dc.ukrtel.net
05379702,Elizavet.rada@i.ua
33984581,ispolkom@wn.dn.ua
26019646,eogni@ghost.dn.ua
02895662,inbox@enm.dn.court.gov.ua
04336852,izvarinskiipossovet@yandex.ru
34908758,ogis99@mail.ru
02895627,inbox@ill.dn.court.gov.ua
08671774,17_dn@mvs.gov.ua
04342418,s.rada_iskra@mail.ru
04352374,Відсутня
25483005,сайт:andrsr.at.ua;andreevka77@rambler.ruабоAndreevkasr.gov@meta.ua
02891457,inbox@zpa.court.gov.ua
00432159,atmansilrada@mail.ru
23881173,balpost@meta.ua
04351819,balki_silrada@ukr.net
04352546,Відсутня
04353936,Відсутня
02884055,1berd_dnk31@ukr.net
20525153,rada@bmr.gov.ua
39500075,zp.22@sfs.gov.ua
02140840,gosbrd@zp.ukrtel.net
02884061,rdnk7661@gmail.com
25219455,brd_or@zp.ukrtel.net
35421414,bmk@berdyansk.net
20524099,berdgcz@ukr.net
35036491,info@bd.zp.dvs.gov.ua
42565022,vcs@bdm.zp.minjust.gov.ua
37381363,inbox@bd.zp.court.gov.ua
20523987,berrcz@yandex.ru
08672512,12_zp@mvs.gov.ua
24906372,vsrblag@yandex.ua
04352322,bur_sr@zp.ukrtel.net
04353008,Pivbss25e@yandex.ru
02884186,bilmak_dnk@ukr.net
25216735,kubrada@ukr.net
02884078,vasylivkadnk@gmail.com
24912088,vasmr@ukr.net
02140857,vasladm@zp.ukrtel.net
24913314,vasrr@zp.ukrtel.net
26014577,vcs@vs.zp.minjust.gov.ua
37438901,inbox@vs.zp.court.gov.ua
20523970,vasilcz@mail.ru
08672526,13_zp@mvs.gov.ua
20482886,vbeloz_rda@zp.ukrtel.net
20484684,belrad@meta.ua
25217686,bel_srada@ukrpost.ua
34158060,info@vb.zp.dvs.gov.ua
37161851,inbox@vb.zp.court.gov.ua
20523964,belrcz@meta.ua
25742725,v-selsovetzn@rambler.ru
04353942,verb.sr@yandex.ru
02140863,adm_vesl@zp.ukrtel.net
25221630,vesel_rada@zp.ukrtel.net
25677264,1ves_sov@list.ru
01992920,vescrb@med.zp.ua
34877505,info@vsl.zp.dvs.gov.ua
36943878,inbox@vsl.zp.court.gov.ua
25490904,atmansilrada@mail.ru
02140805,ispolkom@bmr.gov.ua
25763615,sel-sovet@i.ua
04352925,dn95704@i.ua
04526934,adm@en.gov.ua
02140892,zgik@commit.zp.ua
04526928,k_gorsovet@zp.ukrtel.net
04593250,gorsovet_orehov@bk.ru
26403862,preobrrada@gmail.com
02140828,tkgadmin@zp.ukrtel.net
25741074,iwaniwska_silrada@ukr.net
20476851,Відсутня
04352405,Відсутня
04352776,Відсутня
04053944,vcs_vn@zpm.zp.minjust.gov.ua
25820342,volodsr_yakim_zp@ukr.net
26468195,8zpdnk@ukr.net
35238576,agro_college@mail.ru
26073099,Відсутня
34986553,zpdvsvas@mail.ru
34262421,zpdvskujb@yandex.ua
42565876,vcs@pl.zp.minjust.gov.ua
26014560,tokmak_ryu@mail.ru
42564909,kuibdracs@ukr.net
04011970,vcs@zp.drsu.gov.ua
02228115,chercult@mail.ru
02136368,mihrono@rambler.ru
02136117,cherosvita@zp.ukrtel.net
02891463,vpvr.dvs.zp@ukr.net
25919856,kdsocstr@zp.ukrtel.net
25919750,zp_mail@fsnv.zp.ua
25919773,shahter@zp.ukrtel.net
25919833,vesfsnf@zp.ukrtel.net
25919879,volnyansk@zp.ukrtel.net
25919951,fsnv@zp.ukrtel.net
25919916,fsnv@ukrpost.net
25919885,fssns_tkm@zp.ukrtel.net
25919891,Fsnv_mel@rambler.ru
25919810,pology_fsnv@zp.ukrtel.net
26253589,zp-nspp@mail.ru
02884090,vilzpdnk@ukr.net
20525590,volmdpi@ukrpost.ua
04526963,vogoso@mail.ru
38442301,volmdpi806@gmail.com
02140870,gosvln@zp.ukrtel.net
01992914,volcrb1@rambler.ru
25678938,volnru@gmail.com
35045946,info@vl.zp.dvs.gov.ua
26014620,vcs@vl.zp.minjust.gov.ua
37248261,inbox@vl.zp.court.gov.ua
20523504,VCZ868@rambler.ru
08672549,15_zp@mvs.gov.ua
38146407,zaporizhya@mns.gov.ua
00731270,ukrsel@zp.ukrtel.net
20490526,S.T.V.12@i.ua
23786842,Відсутня
37941997,office@zp.treasury.gov.ua
02741456,uprek@zp.ukrtel.net
20490012,avt@zp.pfu.gov.ua
20508189,upromzoda@i.ua
02360576,Stat-zp@zp.ukrstat.gov.ua
02313714,fin@zoda.gov.ua
20480516,Відсутня
03500105,inbox@zp.arbitr.gov.ua
05379151,Відсутня
02884109,gpolednk@gmail.com
02140886,rda@gp.zp.ua
20519046,gulrrada@gp.zp.ua
34848322,info@gp.zp.dvs.gov.ua
26014599,vcs@gp.zp.minjust.gov.ua
02896526,inbox@gp.zp.court.gov.ua
20524001,gczgul@mail.ru
25475980,kfin-gus@yandex.ru
25678045,belgunivska@meta.ua
04352055,davidrada@meta.ua
37612054,Відсутня
33836176,ugkh@zp.ukrtel.net
37573094,donmszap@ukr.net
03193005,uszn@zp.ukrtel.net
37573424,zpgorfin@ukr.net
38025388,zap@dei.gov.ua
01291809,poshta@dpa-zp.gov.ua
20523160,dpi829@ukr.net
34120241,nick@zp.ukrtel.net
20523289,guldpi@ukrpost.ua
38732230,dpi0825@zp.minrd.gov.ua
34317714,zapdpizap@ukr.net
20523148,DPI0827@ZP.UKRTEL.NET
20523119,dpa4@infocom.zp.ua
34247616,sta0823@zp.ukrtel.net
34120367,mdpi812@ukr.net
20523602,gni_14@mail.ru
39487856,zp.30@sfs.gov.ua
38732204,dpi0830@zp.minrd.gov.ua
37056373,zp@diklz.zp.ua
20513724,zpkru@zp.ukrtel.net
00485167,zpkr@mail.ru
05432193,berdles@mail.ru
36973881,dp_vasilivskii_lisgosp@mail.ru
33431745,dpzaples@mail.ru
00991976,dp_mlmg@ukr.net
00991999,lmg_pology@ukrpost.ua
00991982,primlg@ukr.net
25919158,zdn@zdn.gov.ua
03494617,dazo@zp.ukrtel.net
